,web_url,snippet,lead_paragraph,abstract,headline,keywords,pub_date,document_type
0,https://www.nytimes.com/1853/11/11/archives/latest-intelligence-by-telegraph-to-the-newyork-daily-times.html,,,"It is understood that Secretary GUTHRIE is in favor of the reduction of the duty on Iron of all kinds to 25 per cent. ad valorem. It is said that he will also recommend that Salt, Dye Stuffs, Mahogany, and other furniture woods, raw Silks, crude Drugs and Fruits, be put on the free list.  ","{'main': 'LATEST INTELLIGENCE; By Telegraph to the New-York Daily Times. WASHINGTON. REDUCTION OF THE TARIFF. EFFECT OF THE NEW-YORK ELECTION, REDEMPTION OF PUBLIC STOCKS. General Intelligence.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LATEST INTELLIGENCE; By Telegraph to the New-York Daily Times. WASHINGTON. REDUCTION OF THE TARIFF. EFFECT OF THE NEW-YORK ELECTION, REDEMPTION OF PUBLIC STOCKS. General Intelligence.', 'name': None, 'seo': None, 'sub': None}",[],1853-11-11T05:00:00+0000,article
1,https://www.nytimes.com/1853/11/12/archives/washington-proposed-changes-in-the-tariff-the-postoffice-department.html,,,"It is quite probable that Secretary GUTHRIE, in his desire to simplify the Custom-House business, as well as to reduce the revenues of the country, will recommend the division of duties into two classes only, instead of three, as I suggested recently.  ","{'main': 'WASHINGTON.; PROPOSED CHANGES IN THE TARIFF. THE POST-OFFICE DEPARTMENT Bounties to Old Soldiers.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'WASHINGTON.; PROPOSED CHANGES IN THE TARIFF. THE POST-OFFICE DEPARTMENT Bounties to Old Soldiers.', 'name': None, 'seo': None, 'sub': None}",[],1853-11-12T05:00:00+0000,article
2,https://www.nytimes.com/1853/12/09/archives/the-changes-in-the-tariff.html,,,"While the British Chancellor of the Exchequer finds his ingenuity taxed to the utmost in devising means to reduce taxation without diminishing the revenue, our Secretary finds it necessary to lower the duties in order to deplete the public treasury.  ","{'main': 'The Changes in the Tariff.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Changes in the Tariff.', 'name': None, 'seo': None, 'sub': None}",[],1853-12-09T05:00:00+0000,article
3,https://www.nytimes.com/1853/12/13/archives/the-tariff-changes.html,,,"The Report of the Secretary of the Treasury appears to have given an unusual degree of satisfaction to the press of both parties. His Tariff proposition too clearly recognizes the principle of protection, to make his report very obnoxious to the Whigs, while the enlargement of the Free List, even upon this principle, has made it generally, if not universally, acceptable to the Democratic party.  ","{'main': 'The Tariff Changes.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Tariff Changes.', 'name': None, 'seo': None, 'sub': None}",[],1853-12-13T05:00:00+0000,article
4,https://www.nytimes.com/1853/12/26/archives/latest-intelligence-by-telegraph-to-the-newyork-daily-times-from.html,,,The following is a statement of the condition of the Public Stocks on the 24th December:  ,"{'main': 'LATEST INTELLIGENCE.; By Telegraph to the New-York Daily Times. FROM THE CAPITAL. Statement of the Public Debt--Tariff Changes--Demise of Hon. Brookins Campbell, &c.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LATEST INTELLIGENCE.; By Telegraph to the New-York Daily Times. FROM THE CAPITAL. Statement of the Public Debt--Tariff Changes--Demise of Hon. Brookins Campbell, &c.', 'name': None, 'seo': None, 'sub': None}",[],1853-12-26T05:00:00+0000,article
5,https://www.nytimes.com/1854/03/22/archives/from-washington-the-episode-in-the-senate-on-the-nebraska-billthe.html,,,"The Senate furnished us to-day with a ""protocol"" to the Nebraska bill, in the way of two hours' explanations. As the Connecticut election succeeds the New-Hampshire in a fortnight, we shall probably have still another protocol at about that time. The sketch furnished by your Senate Reporter, has probably furnished you a general idea of the course of the debate to-day.  ","{'main': 'FROM WASHINGTON.; The Episode in the Senate on the Nebraska Bill--The Tariff--Gadsden Treaty, &c.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'FROM WASHINGTON.; The Episode in the Senate on the Nebraska Bill--The Tariff--Gadsden Treaty, &c.', 'name': None, 'seo': None, 'sub': None}",[],1854-03-22T05:00:00+0000,article
6,https://www.nytimes.com/1854/05/12/archives/from-washington-the-nebraska-movementrevision-of-the-tariff-c.html,,,,"{'main': 'FROM WASHINGTON.; The Nebraska Movement--Revision of the Tariff, &c.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'FROM WASHINGTON.; The Nebraska Movement--Revision of the Tariff, &c.', 'name': None, 'seo': None, 'sub': None}",[],1854-05-12T05:00:00+0000,article
7,https://www.nytimes.com/1854/06/16/archives/latest-intelligence-by-telegraph-to-the-newyork-daily-times-from.html,,,"It is understood that the House Committee of Ways and Means have decided to report an amendment to the Tariff of 1846 as soon as called on for reports; and that most of the recommendations of Mr. GUTARIE, augmenting the free list and reducing the ad valorem schedules, are adopted. e  ","{'main': 'LATEST INTELLIGENCE; By Telegraph to the New-York Daily Times. FROM WASHINGTON. Amendments to the Tariff of 1846 CONGRESSIONAL PROCEEDINGS. Settlement of the Claims of Texas Creditors. THE VETOED INSANE LAND BILL. SPEECH OF SENATOR CLAYTON. Amendments to the Bill to Amend the Postage Laws.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LATEST INTELLIGENCE; By Telegraph to the New-York Daily Times. FROM WASHINGTON. Amendments to the Tariff of 1846 CONGRESSIONAL PROCEEDINGS. Settlement of the Claims of Texas Creditors. THE VETOED INSANE LAND BILL. SPEECH OF SENATOR CLAYTON. Amendments to the Bill to Amend the Postage Laws.', 'name': None, 'seo': None, 'sub': None}",[],1854-06-16T05:00:00+0000,article
8,https://www.nytimes.com/1854/06/17/archives/latest-intelligence-by-telegraph-to-the-newyork-daily-times-from.html,,,"The Tariff Act, on which the House Committee of Ways and Means have agreed, adds the following articles to the free list: All books, maps, apparatus, and other articles imported for the use of the United States. Also, statuary, busts, paintings, drawings, etchings, cabinets of coins, collections of antiquities, , for the use of Colleges and Schools. .  ","{'main': 'LATEST INTELLIGENCE; By Telegraph to the New-York Daily Times. FROM WASHINGTON THE NEW TARIFF ACT. OUR RELATIONS WITH SPAIN. A Difference as to Terms all that stands Between us and the Possession of Cuba. The Gold Coinage Bill in the Senate. The New Postage Bill in the House Laid on the Table.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LATEST INTELLIGENCE; By Telegraph to the New-York Daily Times. FROM WASHINGTON THE NEW TARIFF ACT. OUR RELATIONS WITH SPAIN. A Difference as to Terms all that stands Between us and the Possession of Cuba. The Gold Coinage Bill in the Senate. The New Postage Bill in the House Laid on the Table.', 'name': None, 'seo': None, 'sub': None}",[],1854-06-17T05:00:00+0000,article
9,https://www.nytimes.com/1854/09/08/archives/three-days-later-from-europe-cotton-dullbreadstuffs-lowerconsols-94.html,,,"The Cunard steamer Africa from Liverpool on the forenoon of Saturday, the 26th ult., arrived at this port early yesterday morning. The U. S. Mail steamer Indiana, from New York August 10, arrived at Southampton noon of Wednesday, 23d; and the Cunard screw-steamer Alps, from New-York 12th, arrived at Liverpool at 11 o'clock forenoon of Thursday, 24th.  ","{'main': ""THREE DAYS LATER FROM EUROPE; Cotton Dull--Breadstuffs Lower--Consols 94 1-8 to 94 1-4 Arrest by the Tarks of Two Correspondents of London Journals The Baltic The White Sea The Caputre of Bomarsand The Occupation of Alaod The Occupation of Alaod Entry of the Austrians into Wallachia Naval and Military The Austrian Occupation of the Principalities The Times on the San Juan Affair Razzia by the Circassians--Decisive Defeat of the Turks The London Times on Consul Sanders' Letter to the Swiss Republic The Danube The Capture of Bomarsund--Summary of the Military Operations Baring Brothers & Co.'s Circular Sir Hamilton Seymour and Dr. Cottman FRANCE The Emperer at the Spring--Exchange of Notes between France and Austria--Reduction of the Tariff--Various Interesting News A. Demistoun & Cos's Circular All Quiet Treaties between England and Sardinia Foreign Ship News James M'Henry's Circular Liverpool Cotton Market Liverpool Provision Market Liverpool Breadstuffs Market Liverpool Produce Market"", 'kicker': '2', 'content_kicker': None, 'print_headline': ""THREE DAYS LATER FROM EUROPE; Cotton Dull--Breadstuffs Lower--Consols 94 1-8 to 94 1-4 Arrest by the Tarks of Two Correspondents of London Journals The Baltic The White Sea The Caputre of Bomarsand The Occupation of Alaod The Occupation of Alaod Entry of the Austrians into Wallachia Naval and Military The Austrian Occupation of the Principalities The Times on the San Juan Affair Razzia by the Circassians--Decisive Defeat of the Turks The London Times on Consul Sanders' Letter to the Swiss Republic The Danube The Capture of Bomarsund--Summary of the Military Operations Baring Brothers & Co.'s Circular Sir Hamilton Seymour and Dr. Cottman FRANCE The Emperer at the Spring--Exchange of Notes between France and Austria--Reduction of the Tariff--Various Interesting News A. Demistoun & Cos's Circular All Quiet Treaties between England and Sardinia Foreign Ship News James M'Henry's Circular Liverpool Cotton Market Liverpool Provision Market Liverpool Breadstuffs Market Liverpool Produce Market"", 'name': None, 'seo': None, 'sub': None}",[],1854-09-08T05:00:00+0000,article
